DICO;Nome;NOME_M;X;Y;Validada;Dens_pop_municipal_maiusculas_2001;Dens_pop_municipal_maiusculas_2021
207;Póvoa de Lanhoso;PÓVOA DE LANHOSO;-12415;212177;Sim;171.3;163.4
713;Póvoa de Varzim;PÓVOA DE VARZIM;-52763;190513;Sim;773;788.4
204;Proença-A-Nova;PROENÇA-A-NOVA;17273;9116;Sim;24.2;18.1
1508;Redondo;REDONDO;50674;-113072;Sim;19.8;17.1
1511;Reguengos de Monsaraz;REGUENGOS DE MONSARAZ;52085;-137896;Sim;24.4;21.3
208;Resende;RESENDE;13853;159983;Sim;100.8;81.3
1513;Ribeira de Pena;RIBEIRA DE PENA;27396;205764;Sim;33.9;27
211;Rio Maior;RIO MAIOR;-69272;-36328;Sim;77.9;78.3
206;Sabrosa;SABROSA;46425;177633;Sim;44.7;35.5
212;Sabugal;SABUGAL;88589;76344;Sim;18;13.8
201;Salvaterra de Magos;SALVATERRA DE MAGOS;-58264;-71012;Sim;84.1;90.3
802;Santa Comba Dão;SANTA COMBA DÃO;-283;80952;Sim;111;96.1
804;Santa Maria da Feira;SANTA MARIA DA FEIRA;-34412;139591;Sim;632.5;636
806;Santa Marta de Penaguião;SANTA MARTA DE PENAGUIÃO;27936;171278;Sim;122.1;87.7
809;Santarém;SANTARÉM;-49719;-46545;Sim;113;107.5
803;Santiago do Cacém;SANTIAGO DO CACÉM;-49636;-183275;Sim;29.3;26.4
815;Santo Tirso;SANTO TIRSO;-28874;186054;Sim;534;496.7
1204;São Brás de Alportel;SÃO BRÁS DE ALPORTEL;20883;-279280;Sim;67;73.9
1603;São João da Madeira;SÃO JOÃO DA MADEIRA;-30260;137280;Sim;2651.1;2836.2
1604;São João da Pesqueira;SÃO JOÃO DA PESQUEIRA;60598;164768;Sim;32.4;25.7
1608;São Pedro do Sul;SÃO PEDRO DO SUL;5128;121283;Sim;54.4;43.5
1701;Sardoal;SARDOAL;-2702;-14938;Sim;44.6;38.4
1707;Sátão;SATÃO;33580;119413;Sim;;
1808;Seia;SEIA;36406;83634;Sim;64.3;50
403;Seixal;SEIXAL;-84147;-113744;Sim;1571.2;1756.9
309;Sernancelhe;SERNANCELHE;53270;136983;Sim;27.2;24.8
1819;Serpa;SERPA;47034;-191428;Sim;15.1;12.5
616;Sertã;SERTÃ;2540;15358;Sim;37.4;33.3
606;Sesimbra;SESIMBRA;-84901;-135271;Sim;194.5;271
1008;Setúbal;SETÚBAL;-66219;-126330;Sim;589.6;537.1
508;Sever do Vouga;SEVER DO VOUGA;-20622;118377;Sim;101.4;85.1
1413;Silves;SILVES;-27486;-274842;Sim;50;56
1411;Sines;SINES;-65243;-189537;Sim;67.1;70.7
1002;Sintra;SINTRA;-108737;-95548;Sim;1138.4;1212.9
401;Sobral de Monte Agraço;SOBRAL DE MONTE AGRAÇO;-89268;-71613;Sim;171.6;208.9
404;Soure;SOURE;-42278;43550;Sim;78.8;65.3
1007;Sousel;SOUSEL;39354;-79451;Sim;20.6;15.8
1408;Tábua;TÁBUA;8424;76901;Sim;63;56.6
1011;Tabuaço;TABUAÇO;47257;161068;Sim;50.5;37.6
1001;Tarouca;TAROUCA;30031;149827;Sim;82.9;73.6
1016;Tavira;TAVIRA;43031;-282514;Sim;41.1;45.5
1012;Terras de Bouro;TERRAS DE BOURO;-15547;227601;Sim;29.9;23
714;Tomar;TOMAR;-23899;-7225;Sim;121.9;104.2
1404;Tondela;TONDELA;4489;94237;Sim;83.7;70
209;Torre de Moncorvo;TORRE DE MONCORVO;89538;167825;Sim;18.5;12.8
812;Torres Novas;TORRES NOVAS;-35228;-20867;Sim;137.1;127.2
504;Torres Vedras;TORRES VEDRAS;-97422;-63628;Sim;178.3;206.9
1509;Trancoso;TRANCOSO;65998;123549;Sim;30;23.3
407;Trofa;TROFA;-35676;185468;Sim;519.2;539.3
116;Vagos;VAGOS;-46687;98505;Sim;133.8;140.8
1213;Vale de Cambra;VALE DE CAMBRA;-22050;131176;Sim;168.8;144.7
1505;Valença;VALENÇA;-42680;262452;Sim;120.9;117.4
202;Valongo;VALONGO;-31004;169009;Sim;1138.8;1275.7
704;Valpaços;VALPAÇOS;68454;215629;Sim;35.4;26.7
810;Vendas Novas;VENDAS NOVAS;-28423;-110280;Sim;51.7;50.9
108;Viana do Alentejo;VIANA DO ALENTEJO;10669;-148307;Sim;14.3;13.8
1501;Viana do Castelo;VIANA DO CASTELO;-59546;225821;Sim;278.2;269.9
1510;Vidigueira;VIDIGUEIRA;28668;-161843;Sim;19.5;16.5
314;Vieira do Minho;VIEIRA DO MINHO;-1442;218321;Sim;67.1;55.6
1318;Vila de Rei;VILA DE REI;-1686;852;Sim;17.6;17.4
1712;Vila do Bispo;VILA DO BISPO;-69616;-286554;Sim;29.9;32.3
405;Vila do Conde;VILA DO CONDE;-51365;187592;Sim;500.5;547.9
1814;Vila Flor;VILA FLOR;81857;182405;Sim;29.6;22.9
109;Vila Franca de Xira;VILA FRANCA DE XIRA;-74342;-78648;Sim;381.3;433.5
816;Vila Nova da Barquinha;VILA NOVA DA BARQUINHA;-26766;-23163;Sim;152.6;145.2
1013;Vila Nova de Cerveira;VILA NOVA DE CERVEIRA;-51369;252380;Sim;81.8;82.7
609;Vila Nova de Famalicão;VILA NOVA DE FAMALICÃO;-32286;193374;Sim;633.7;665.1
114;Vila Nova de Foz Côa;VILA NOVA DE FOZ CÔA;83612;157549;Sim;21.2;15.9
111;Vila Nova de Gaia;VILA NOVA DE GAIA;-39944;162787;Sim;1715.4;1813.1
213;Vila Nova de Paiva;VILA NOVA DE PAIVA;33156;131429;Sim;34.8;26.7
1314;Vila Nova de Poiares;VILA NOVA DE POIARES;-11600;60242;Sim;83.6;82.2
1815;Vila Pouca de Aguiar;VILA POUCA DE AGUIAR;39669;203656;Sim;34.2;27.1
910;Vila Real;VILA REAL;32408;181409;Sim;132.7;131.1
1602;Vila Real de Santo António;VILA REAL DE SANTO ANTÓNIO;63139;-274797;Sim;290.3;309.3
1415;Vila Velha de Ródão;VILA VELHA DE RODÃO;38285;-1119;Sim;;
1711;Vila Verde;VILA VERDE;-25703;219886;Sim;204.1;204.6
1114;Vila Viçosa;VILA VIÇOSA;61698;-98464;Sim;45.4;38
1112;Vimioso;VIMIOSO;133586;214024;Sim;11;8.6
1420;Vinhais;VINHAIS;93747;241276;Sim;15.2;11.1
312;Viseu;VISEU;18510;109785;Sim;184.8;197.4
1307;Vizela;VIZELA;-14539;189836;Sim;956.2;973.1
304;Vouzela;VOUZELA;1430;117177;Sim;61.2;49.9
